question_text,label
Who is the academic advisor for Computing?,answer
Who is the Head of the Department of Biological Sciences?,answer
"Which department offers ""Working with Communities"" (HPT 2302)?",answer
"What is the grade point value for an ""E"" grade?",answer
Who is the Dean of the Faculty of Social Sciences & Humanities?,answer
How do I apply for semester deferment?,escalate
What is the course title for BIO 2201?,answer
What modules do I have this semester?,clarify
Can a student drop a subject from a combination with Botany and Zoology?,answer
What is the title of CHE 4201?,answer
Is IDC 1201 (Philosophy of Science) compulsory?,answer
What modules are in the yearly plan?,clarify
Is PHY 3209 compulsory in the CP combination?,answer
What modules are in year two?,clarify
What are the semester 2 modules?,clarify
What happens if a student is guilty of an irregularity a second time?,answer
What is the punishment for ragging that causes sexual harassment?,answer
What are the topics in FDN 1306?,answer
What courses are available for selection?,clarify
How many credits must be from a particular subject to claim it in a degree?,answer
How do I apply for semester break?,escalate
What subjects should I take?,clarify
What is the punishment for hostage taking?,answer
What disciplines are covered by the Department of Physical Sciences?,answer
What is the prerequisite for Statistical Learning (STA 3401)?,answer
Who is the FAS Senior Student Counsellor?,answer
What modules are offered this semester?,clarify
"If a combination includes Mathematics and Statistics, which can be dropped?",answer
Is Entrepreneurship Development offered in the 3rd year?,answer
How do I appeal academic probation?,escalate
What is the course title for PHY 3211?,answer
Who convenes the SRC meetings?,answer
Is BDC 4810 an 8-credit research project?,answer
How do I request academic clearance?,escalate
How do I reactivate my student account?,escalate
How do I request a fee refund?,escalate
How many weeks of industrial training equal 1 credit?,answer
What happens if I get caught cheating?,escalate
What is the title of STA 1301?,answer
"""I missed registration due to emergency, what can I do?""",escalate
What topics are in FDN 1202?,answer
Is IDC 4201 (Applied) title Scientific Communication?,answer
How do I submit official complaint?,escalate
What is the title of MAT 2302?,answer
What is HPF 2102?,answer
Who receives the Dr. Charles Santiapillai Gold Medal?,answer
What modules are included in the program?,clarify
How do I file a formal complaint?,escalate
What is the abbreviation for Faculty of Applied Sciences?,answer
How are disciplinary cases handled?,escalate
What are the biomolecules in BIO 1201?,answer
How do I get official confirmation letter?,escalate
Is medical care free for students?,answer
What subjects are in the curriculum?,clarify
Is MAT 3202 compulsory in the CM combination?,answer
By which Gazette Notification was the university established?,answer
How do I fix registration error?,escalate
What modules should I prioritize?,clarify
Do students need permission to visit other universities?,answer
Is Scientific Communication compulsory for all 4th year students?,answer
Who is the Head of the Department of Health Promotion?,answer
How do I file an academic appeal?,escalate
Which electives are available?,clarify
Is STA 3303 (Independent Study) a compulsory course?,answer
Is IDC 3203 title Human Resource Management?,answer
Is ICT 4410 a 4-credit course?,answer
What is the Reference Assistance Service (RAS)?,answer
Is MIB 4810 an 8-credit research project?,answer
What modules are part of my degree?,clarify
What is the title of MAT 4304?,answer
How do I get emergency approval?,escalate
What is the prerequisite for Systems Analysis and Design (COM 2301)?,answer
What subjects are offered by the Department of Biological Sciences?,answer
What is the abbreviation for Applied Sciences Chemistry?,answer
What are my semester modules?,clarify
Is CHE 3214 compulsory in the CCs combination?,answer
What is the title of BIO 3201?,answer
When must a student request a grace chance?,answer
How do I request exam attendance certificate?,escalate
What subjects are available for selection?,clarify
How do I file an academic complaint?,escalate
What is the definition of Insecta in ZOO 1203?,answer
How do I apply for exception to prerequisite?,escalate
What are the second year courses?,clarify
How do I apply for readmission?,escalate
What is the prerequisite for Intelligent Systems (ICT 4302)?,answer
What courses are in the curriculum?,clarify
What subjects are part of my degree?,clarify
What modules are studied in semester two?,clarify
What does MIB 3201 stand for?,answer
How do I get academic transcript copy?,escalate
Can I override a prerequisite?,escalate
What is the assessment for IDC 1202?,answer
What subjects are studied in semester one?,clarify
Which optional courses are available?,clarify
What is the University Student Charter?,answer
Does IDC 1201 analyze the reliability of scientific knowledge?,answer
What courses should I prioritize?,clarify
How do I meet the dean?,escalate
What is the title of STA 2302?,answer
What is the FAS mission?,answer
Is criminal intimidation a cognizable offence?,answer
Is regular attendance compulsory for the English course?,answer
What are the criteria for the Hand in Hand Scholarship?,answer
What is the title of BDC 3301?,answer
What is CHE 3203?,answer
Is FDN 1203 compulsory for those who followed Combined Maths at A/L?,answer
How do I apply for special case approval?,escalate
Is CHE 4814 an 8-credit course?,answer
What courses are offered this semester?,clarify
What is the title of CHE 3223?,answer
How do I request transcript urgently?,escalate
What is the maximum mark for Research in the Dean's Award?,answer
What modules are part of semester one?,clarify
What is the attendance requirement for exams?,answer
What subjects are compulsory this year?,clarify
What are the operating hours of CITS?,answer
"What is the abbreviation for Chemistry, Botany, and Zoology?",answer
Can a student drop a compulsory course?,answer
Are students grouped by competency in the English course?,answer
Is CHE 4605 a 6-credit research project?,answer
What is COM 1305?,answer
What is the goal of FDN 1205?,answer
What is a Corequisite (CR)?,answer
What courses are in my programme?,clarify
What is the FAS vision?,answer
What happens if I am accused of plagiarism?,escalate
How can students report ragging to the UGC?,answer
What are the operating hours of the Medical Centre?,answer
What is the title of PHY 2204?,answer
How do I apply for credit exemption?,escalate
What is the prerequisite for COM 2307?,answer
What are the operating hours of the faculty canteen?,answer
